date,branch,sweet_name,selling_price,quantity_kg,cost_per_kg
2025-04-30,Jayanagar,Motichoor Laddu,₹876.00,2.0,450.0
2025-01-11,Jayanagar,Kaju Katli,"₹1,276.00",,800.0
2025-03-15,Jayanagar,Kaju Katli,"₹1,276.00",1.0,800.0
2025-02-03,Malleswaram,Kaju Katli,"₹1,276.00",4.0,800.0
2025-03-04,Jayanagar,Kaju Katli,"₹1,276.00",3.0,800.0
2025-03-10,Indiranagar,Kaju Katli,"₹1,276.00",8.0,800.0
2025-10-23,Indiranagar,Special Mysore Paak,₹870.00,8.0,500.0
2025-01-14,Indiranagar,Motichoor Laddu,₹876.00,5.0,450.0
2025-04-11,Jayanagar,Kaju Katli,"₹1,276.00",8.0,800.0
2025-09-29,Indiranagar,Kaju Katli,"₹1,276.00",1.0,800.0
2025-11-28,Malleswaram,Kaju Katli,"₹1,276.00",1.0,800.0
2025-05-03,Jayanagar,Special Mysore Paak,₹870.00,14.0,500.0
2025-05-04,Indiranagar,Special Mysore Paak,₹870.00,13.0,500.0
2025-01-05,Jayanagar,Special Mysore Paak,₹870.00,5.0,500.0
2025-12-08,Jayanagar,Special Mysore Paak,₹870.00,1.0,500.0
2025-06-11,Malleswaram,Motichoor Laddu,₹876.00,13.0,450.0
2025-10-31,Malleswaram,Dry Fruit Mixture,₹933.00,3.0,600.0
2025-11-13,Jayanagar,Chandrakala,₹819.00,13.0,400.0
2025-06-22,Jayanagar,Motichoor Laddu,₹876.00,11.0,450.0
2025-02-26,Jayanagar,Dry Fruit Mixture,₹933.00,1.0,600.0
2025-10-18,Jayanagar,Motichoor Laddu,₹876.00,13.0,450.0
2025-07-13,Malleswaram,Chandrakala,₹819.00,15.0,400.0
2025-03-15,Indiranagar,Dry Fruit Mixture,₹933.00,3.0,600.0
2025-07-10,Indiranagar,Dry Fruit Mixture,₹933.00,12.0,600.0
2025-12-28,Malleswaram,Kaju Katli,"₹1,276.00",9.0,800.0
2025-12-18,Jayanagar,Kaju Katli,"₹1,276.00",13.0,800.0
2025-08-25,Malleswaram,Special Mysore Paak,₹870.00,,500.0
2025-05-05,Indiranagar,Motichoor Laddu,₹876.00,10.0,450.0
2025-01-14,Indiranagar,Dry Fruit Mixture,₹933.00,4.0,600.0
2025-08-06,Jayanagar,Motichoor Laddu,₹876.00,13.0,450.0
2025-04-03,Jayanagar,Kaju Katli,"₹1,276.00",10.0,800.0
2025-12-03,Malleswaram,Dry Fruit Mixture,₹933.00,12.0,600.0
2025-12-19,Malleswaram,Motichoor Laddu,₹876.00,4.0,450.0
2025-12-19,Malleswaram,Special Mysore Paak,₹870.00,15.0,500.0
2025-10-31,Malleswaram,Kaju Katli,"₹1,276.00",9.0,800.0
2025-05-28,Indiranagar,Dry Fruit Mixture,₹933.00,3.0,600.0
2025-03-24,Indiranagar,Special Mysore Paak,₹870.00,13.0,500.0
2025-05-12,Indiranagar,Motichoor Laddu,₹876.00,9.0,450.0
2025-06-18,Jayanagar,Special Mysore Paak,₹870.00,3.0,500.0
2025-07-21,Malleswaram,Motichoor Laddu,₹876.00,11.0,450.0
2025-10-24,Malleswaram,Special Mysore Paak,₹870.00,9.0,500.0
2025-02-23,Jayanagar,Chandrakala,₹819.00,8.0,400.0
2025-06-04,Indiranagar,Motichoor Laddu,₹876.00,14.0,450.0
2025-02-03,Indiranagar,Chandrakala,₹819.00,13.0,400.0
2025-08-14,Malleswaram,Motichoor Laddu,₹876.00,4.0,450.0
2025-12-02,Malleswaram,Kaju Katli,"₹1,276.00",3.0,800.0
2025-08-03,Jayanagar,Kaju Katli,"₹1,276.00",2.0,800.0
2025-07-25,Jayanagar,Kaju Katli,"₹1,276.00",2.0,800.0
2025-12-13,Malleswaram,Kaju Katli,"₹1,276.00",4.0,800.0
2025-02-02,Jayanagar,Chandrakala,₹819.00,9.0,400.0
2025-07-12,Indiranagar,Kaju Katli,"₹1,276.00",10.0,800.0
2025-05-30,Malleswaram,Dry Fruit Mixture,₹933.00,14.0,600.0
2025-02-02,Indiranagar,Special Mysore Paak,₹870.00,9.0,500.0
2025-06-08,Indiranagar,Kaju Katli,"₹1,276.00",2.0,800.0
2025-03-24,Malleswaram,Dry Fruit Mixture,₹933.00,9.0,600.0
2025-11-14,Jayanagar,Chandrakala,₹819.00,14.0,400.0
2025-06-17,Malleswaram,Kaju Katli,"₹1,276.00",4.0,800.0
2025-05-13,Indiranagar,Dry Fruit Mixture,₹933.00,2.0,600.0
2025-02-07,Jayanagar,Motichoor Laddu,₹876.00,11.0,450.0
2025-05-09,Jayanagar,Motichoor Laddu,₹876.00,14.0,450.0
2025-12-17,Jayanagar,Kaju Katli,"₹1,276.00",15.0,800.0
2025-05-22,Jayanagar,Dry Fruit Mixture,₹933.00,11.0,600.0
2025-09-04,Indiranagar,Kaju Katli,"₹1,276.00",5.0,800.0
2025-12-30,Jayanagar,Kaju Katli,"₹1,276.00",15.0,800.0
2025-04-04,Malleswaram,Motichoor Laddu,₹876.00,9.0,450.0
2025-03-03,Indiranagar,Chandrakala,₹819.00,15.0,400.0
2025-06-09,Malleswaram,Special Mysore Paak,₹870.00,,500.0
2025-08-25,Jayanagar,Kaju Katli,"₹1,276.00",13.0,800.0
2025-06-18,Malleswaram,Dry Fruit Mixture,₹933.00,9.0,600.0
2025-06-24,Indiranagar,Kaju Katli,"₹1,276.00",5.0,800.0
2025-06-27,Indiranagar,Special Mysore Paak,₹870.00,4.0,500.0
2025-07-26,Indiranagar,Motichoor Laddu,₹876.00,12.0,450.0
2025-10-01,Indiranagar,Special Mysore Paak,₹870.00,6.0,500.0
2025-09-05,Jayanagar,Chandrakala,₹819.00,13.0,400.0
2025-12-03,Indiranagar,Chandrakala,₹819.00,15.0,400.0
2025-04-09,Malleswaram,Special Mysore Paak,₹870.00,4.0,500.0
2025-09-04,Indiranagar,Dry Fruit Mixture,₹933.00,5.0,600.0
2025-03-07,Indiranagar,Kaju Katli,"₹1,276.00",1.0,800.0
2025-10-11,Malleswaram,Dry Fruit Mixture,₹933.00,10.0,600.0
2025-12-04,Jayanagar,Kaju Katli,"₹1,276.00",9.0,800.0
2025-10-13,Indiranagar,Special Mysore Paak,₹870.00,4.0,500.0
2025-11-07,Malleswaram,Kaju Katli,"₹1,276.00",6.0,800.0
2025-05-10,Indiranagar,Special Mysore Paak,₹870.00,8.0,500.0
